iter	Passed	Remaining
0	1	132
1	2	123
2	3	116
3	4	106
4	5	102
5	6	100
6	7	97
7	8	95
8	9	93
9	10	91
10	11	89
11	11	86
12	12	84
13	13	82
14	14	81
15	15	79
16	15	77
17	16	76
18	17	74
19	18	73
20	18	71
21	19	70
22	20	68
23	21	67
24	22	66
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	28	56
34	29	55
35	30	54
36	31	53
37	31	52
38	32	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	38	44
46	38	43
47	39	43
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	38
54	45	37
55	46	36
56	47	35
57	48	34
58	48	33
59	49	33
60	50	32
61	51	31
62	52	30
63	53	29
64	53	29
65	54	28
66	55	27
67	56	26
68	57	25
69	57	24
70	58	23
71	59	23
72	60	22
73	60	21
74	62	20
75	62	19
76	63	19
77	64	18
78	65	17
79	66	16
80	66	15
81	67	14
82	68	14
83	69	13
84	70	12
85	71	11
86	72	10
87	72	9
88	73	9
89	74	8
90	75	7
91	76	6
92	76	5
93	77	4
94	78	4
95	79	3
96	80	2
97	81	1
98	81	0
99	82	0
