iter	Passed	Remaining
0	131	131824
1	133	66598
2	134	44799
3	136	33970
4	137	27436
5	139	23077
6	140	19935
7	142	17729
8	144	15928
9	146	14464
10	147	13277
11	149	12278
12	150	11409
13	151	10672
14	152	10033
15	153	9463
16	154	8959
17	156	8518
18	157	8144
19	158	7788
20	159	7458
21	161	7166
22	162	6896
23	163	6641
24	164	6410
25	165	6193
26	166	5991
27	167	5804
28	168	5630
29	169	5468
30	170	5317
31	171	5192
32	173	5069
33	174	4948
34	175	4831
35	176	4722
36	177	4617
37	178	4520
38	179	4426
39	180	4335
40	181	4248
41	182	4169
42	184	4097
43	185	4032
44	186	3964
45	188	3902
46	189	3843
47	190	3776
48	191	3720
49	192	3663
50	194	3609
51	195	3556
52	196	3505
53	197	3453
54	198	3407
55	200	3371
56	201	3328
57	202	3284
58	203	3246
59	204	3205
60	205	3164
61	206	3124
62	207	3085
63	208	3047
64	209	3010
65	210	2974
66	211	2939
67	211	2904
68	213	2876
69	214	2849
70	215	2822
71	216	2794
72	218	2769
73	219	2742
74	220	2715
75	221	2688
76	222	2661
77	223	2636
78	224	2614
79	225	2589
80	226	2564
81	226	2539
82	227	2512
83	228	2495
84	230	2476
85	231	2461
86	232	2439
87	233	2422
88	235	2405
89	236	2388
90	237	2372
91	238	2356
92	239	2338
93	240	2319
94	241	2301
95	242	2285
96	243	2270
97	244	2254
98	245	2238
99	246	2222
100	247	2205
101	248	2189
102	249	2173
103	251	2162
104	252	2150
105	253	2140
106	254	2126
107	256	2116
108	258	2113
109	261	2112
110	263	2107
111	265	2102
112	267	2095
113	268	2089
114	270	2083
115	272	2078
116	274	2070
117	275	2062
118	277	2053
119	278	2044
120	280	2034
121	281	2023
122	282	2014
123	283	2003
124	284	1992
125	285	1981
126	286	1970
127	288	1962
128	289	1955
129	290	1943
130	291	1933
131	292	1923
132	293	1913
133	294	1904
134	295	1895
135	296	1884
136	297	1874
137	298	1864
138	299	1853
139	300	1843
140	301	1835
141	301	1824
142	303	1817
143	304	1810
144	305	1801
145	306	1793
146	307	1785
147	308	1777
148	309	1769
149	310	1761
150	311	1752
151	312	1744
152	313	1736
153	314	1727
154	315	1718
155	316	1712
156	317	1706
157	318	1699
158	320	1692
159	321	1686
160	322	1678
161	323	1670
162	324	1664
163	325	1657
164	325	1649
165	326	1642
166	327	1634
167	328	1627
168	329	1620
169	330	1614
170	332	1612
171	333	1605
172	334	1599
173	335	1592
174	336	1586
175	337	1581
176	338	1574
177	339	1568
178	340	1562
179	341	1556
180	342	1550
181	343	1544
182	344	1537
183	345	1532
184	346	1527
185	347	1522
186	348	1516
187	349	1510
188	351	1506
189	352	1500
190	353	1495
191	354	1490
192	355	1485
193	356	1479
194	357	1473
195	357	1467
196	358	1462
197	359	1456
198	360	1451
199	361	1447
200	362	1442
201	364	1438
202	365	1434
203	366	1430
204	367	1426
205	369	1422
206	370	1417
207	371	1413
208	372	1408
209	373	1403
210	374	1399
211	375	1394
212	376	1391
213	377	1387
214	378	1382
215	379	1378
216	380	1373
217	382	1370
218	383	1366
219	384	1362
220	385	1358
221	386	1353
222	386	1348
223	388	1344
224	388	1339
225	389	1335
226	391	1331
227	392	1327
228	393	1324
229	394	1320
230	395	1316
231	396	1313
232	397	1309
233	399	1306
234	400	1302
235	401	1298
236	402	1295
237	403	1291
238	404	1287
239	405	1283
240	406	1280
241	407	1277
242	409	1274
243	410	1271
244	411	1268
245	412	1264
246	413	1261
247	414	1257
248	416	1255
249	417	1251
250	418	1248
251	419	1245
252	420	1242
253	422	1239
254	423	1236
255	424	1233
256	425	1230
257	426	1227
258	427	1223
259	428	1220
260	429	1216
261	430	1212
262	431	1208
263	432	1204
264	432	1200
265	433	1197
266	434	1193
267	436	1190
268	437	1188
269	438	1185
270	439	1182
271	440	1178
272	441	1175
273	442	1173
274	443	1169
275	444	1166
276	445	1162
277	446	1159
278	447	1155
279	448	1152
280	449	1149
281	450	1147
282	451	1145
283	453	1142
284	453	1138
285	455	1136
286	456	1133
287	457	1131
288	458	1128
289	459	1125
290	460	1121
291	461	1118
292	462	1115
293	463	1112
294	464	1109
295	465	1107
296	466	1104
297	467	1101
298	468	1099
299	469	1096
300	471	1094
301	472	1092
302	473	1088
303	474	1086
304	475	1082
305	476	1079
306	476	1076
307	478	1074
308	479	1071
309	480	1069
310	481	1067
311	482	1064
312	483	1061
313	484	1059
314	486	1057
315	487	1054
316	488	1051
317	488	1048
318	489	1045
319	490	1042
320	491	1039
321	492	1036
322	493	1034
323	495	1032
324	496	1030
325	497	1028
326	498	1025
327	499	1023
328	500	1020
329	501	1018
330	502	1015
331	503	1013
332	504	1011
333	505	1008
334	506	1005
335	507	1003
336	509	1002
337	510	999
338	511	997
339	512	994
340	513	992
341	514	990
342	515	987
343	516	985
344	517	983
345	519	981
346	520	979
347	521	977
348	522	975
349	524	973
350	525	970
351	526	968
352	527	966
353	528	963
354	529	961
355	530	959
356	531	957
357	532	954
358	533	952
359	534	949
360	535	947
361	535	944
362	537	942
363	538	940
364	539	938
365	540	935
366	541	933
367	542	931
368	543	929
369	544	927
370	545	925
371	546	922
372	547	920
373	548	918
374	549	915
375	550	913
376	552	912
377	553	910
378	554	908
379	555	906
380	556	904
381	557	901
382	558	900
383	560	898
384	561	896
385	562	894
386	563	892
387	563	889
388	565	887
389	565	885
390	567	883
391	568	881
392	569	879
393	570	877
394	571	875
395	572	873
396	573	871
397	575	869
398	575	867
399	576	865
400	577	863
401	578	861
402	579	858
403	580	856
404	581	854
405	582	852
406	583	850
407	584	848
408	586	846
409	587	845
410	588	843
411	589	841
412	590	838
413	591	836
414	592	834
415	593	832
416	594	830
417	595	828
418	596	826
419	597	824
420	598	822
421	599	820
422	600	818
423	601	816
424	602	815
425	603	812
426	604	810
427	605	808
428	606	806
429	606	804
430	607	802
431	608	800
432	609	798
433	610	796
434	611	794
435	612	792
436	613	790
437	614	789
438	616	787
439	617	785
440	617	783
441	619	781
442	619	779
443	621	777
444	622	776
445	623	773
446	624	772
447	625	770
448	626	768
449	627	766
450	628	765
451	629	763
452	630	761
453	631	759
454	632	757
455	633	755
456	634	753
457	635	752
458	636	750
459	637	748
460	638	746
461	639	744
462	640	742
463	641	740
464	642	739
465	643	737
466	644	736
467	645	734
468	646	732
469	647	730
470	648	728
471	649	726
472	650	725
473	651	723
474	652	721
475	653	719
476	655	718
477	656	716
478	657	715
479	658	713
480	659	711
481	660	710
482	661	708
483	662	706
484	663	704
485	664	702
486	665	701
487	666	699
488	667	697
489	668	695
490	669	693
491	670	691
492	671	690
493	672	689
494	673	687
495	674	685
496	675	683
497	676	682
498	677	680
499	678	678
500	679	676
501	680	674
502	681	673
503	682	671
504	683	669
505	683	667
506	684	665
507	685	664
508	687	662
509	688	661
